molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,pchembl_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3966484,CN[C@H]1c2c(ccc3c2ccn3S(=O)(=O)c2ccccc2)[C@@H]1CCO,inactive,15848.93,4.8,nM,356.4470000000001,2.6184000000000016,2.0,5.0
CHEMBL3910287,CC(=O)Nc1ccc(CCN(C)CC2Cc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c32)cc1,active,251.19,6.6,nM,487.62500000000017,4.6509000000000045,1.0,5.0
CHEMBL3929918,CNCC1Cc2ccc3c(ccn3S(=O)(=O)c3ccccc3)c21,inactive,1995.26,5.7,nM,326.42100000000005,2.737400000000001,1.0,4.0
CHEMBL3948819,CNCC1Cc2ccc3c(ccn3S(=O)(=O)c3cccc4ccccc34)c21,inactive,1000.0,6.0,nM,376.4810000000001,3.8906000000000027,1.0,4.0
CHEMBL3889852,O=S(=O)(c1ccccc1)n1ccc2c3c(ccc21)[C@H]1CCNCC[C@@H]31,active,794.33,6.1,nM,352.4590000000001,3.4425000000000017,1.0,4.0
CHEMBL3961596,CNCC1Cc2cc3ccn(S(=O)(=O)c4cccc5ccccc45)c3cc21,inactive,2511.89,5.6,nM,376.4810000000001,3.8906000000000027,1.0,4.0
CHEMBL3890882,CN[C@@H]1c2cc3ccn(S(=O)(=O)c4ccccc4)c3cc2[C@H]1CCO,inactive,15848.93,4.8,nM,356.4470000000001,2.6184000000000016,2.0,5.0
CHEMBL3963688,CN[C@H]1c2cc3c(ccn3S(=O)(=O)c3ccccc3)cc2[C@@H]1CCO,inactive,6309.57,5.2,nM,356.4470000000001,2.6184000000000016,2.0,5.0
CHEMBL708,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,active,2.1,8.68,nM,412.9460000000002,3.809000000000002,1.0,5.0
CHEMBL4068850,O=S(=O)(c1cccc2ccccc12)n1cc2c3c(cccc31)OC(CO)=C2,inactive,4287.0,5.37,nM,377.4210000000001,3.757100000000003,1.0,5.0
CHEMBL4060194,CCN(CC)CC1=Cc2cn(S(=O)(=O)c3ccccc3)c3cccc(c23)O1,inactive,4351.0,5.36,nM,382.4850000000001,3.953400000000003,0.0,5.0
CHEMBL4083059,CN(C)CC1=Cc2cn(S(=O)(=O)c3cccc4ccccc34)c3cccc(c23)O1,inactive,1489.0,5.83,nM,404.4910000000001,4.326400000000004,0.0,5.0
CHEMBL4061189,CN(C)CC1=CC2=CN(S(=O)(=O)c3ccccc3)C3=CC=CC(O1)C23,inactive,6698.0,5.17,nM,356.44700000000006,2.4890000000000008,0.0,4.0
CHEMBL4079631,O=CC1=Cc2cn(S(=O)(=O)c3cccc4ccccc34)c3cccc(c23)O1,inactive,5162.0,5.29,nM,375.40500000000014,3.963700000000003,0.0,5.0
CHEMBL1457510,COc1c(O)ccc2c1CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,active,49.2,7.31,nM,325.36400000000003,2.785000000000001,1.0,5.0
CHEMBL490533,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,active,80.2,7.1,nM,339.3910000000001,3.088000000000002,0.0,5.0
CHEMBL448891,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,active,533.0,6.27,nM,341.40700000000015,3.073500000000001,1.0,5.0
CHEMBL2334885,COc1cc2c(cc1O)CCN1Cc3c(ccc(OC)c3OC)C[C@@H]21,active,42.4,7.37,nM,341.4070000000001,3.073500000000002,1.0,5.0
CHEMBL487182,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,inactive,1125.0,5.95,nM,355.4340000000002,3.376500000000002,0.0,5.0
CHEMBL2334891,COc1cc2c(cc1O)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,active,41.8,7.38,nM,341.40700000000015,3.073500000000001,1.0,5.0
CHEMBL8514,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,active,0.27,9.57,nM,361.52900000000017,4.844800000000005,1.0,2.0
CHEMBL4088639,COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(C=O)c3c2)CC1,active,1.4,8.85,nM,421.50100000000015,2.696300000000001,1.0,7.0
CHEMBL4060403,O=Cc1cnn2ccc(NC(=O)CCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,active,0.3,9.52,nM,460.3650000000002,3.994500000000003,1.0,6.0
CHEMBL4063282,COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3nccc3c2)CC1,active,46.0,7.34,nM,393.4910000000001,2.883800000000001,1.0,6.0
CHEMBL4091155,O=C(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)Nc1ccn2nccc2c1,active,8.1,8.09,nM,432.3550000000002,4.182000000000003,1.0,5.0
CHEMBL4069091,O=C(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)Nc1ccn2ncc(/C=N\O)c2c1,active,0.57,9.24,nM,475.3800000000002,3.9901000000000018,2.0,7.0
CHEMBL4096353,COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(/C=N\O)c3c2)CC1,active,0.97,9.01,nM,436.51600000000013,2.6919000000000004,2.0,8.0
